"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"CRIM1",51232,"ENSG00000150938","protein-coding",0.593,0.739,1,"Q9NZV1","","","MACROPHTHALMIA, COLOBOMATOUS, WITH MICROCORNEA","[disease]","C1865286","Eye Diseases (C11) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal dominant",0,4,NA,NA,NA,NA,0.65,2015,2019,"Supportive",1,"C1865286"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary sensory and autonomic neuropathy type II","[disease]","C5574675","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","","","","","","",0,3,NA,NA,NA,NA,0.65,1993,2014,"Supportive",1,"C5574675"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Autism Spectrum Disorders","[disease]","C1510586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,3,NA,NA,NA,NA,0.65,2005,2019,NA,0.857142857142857,"C1510586"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,2,NA,NA,NA,NA,0.65,2006,2017,NA,1,"C0007193"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary Sensory Autonomic Neuropathy, Type 2","[disease]","C0020072","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,2,NA,NA,NA,NA,0.65,1993,2009,NA,1,"C0020072"
"MAGI1",9223,"ENSG00000151276","protein-coding",0.586,0.913,0.85449,"Q96QZ7","","","Bipolar Disorder","[disease]","C0005586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,2,NA,NA,NA,NA,0.65,2012,2014,NA,1,"C0005586"
"LOXL2",4017,"ENSG00000134013","protein-coding",0.504,0.783,3.7873e-16,"Q9Y4K0","","","Mammary Neoplasms","[disease]","C1458155","Skin and Connective Tissue Diseases (C17) | Neoplasms (C04)","Neoplastic Process (T191)","","Abnormality of the breast (00769) | Neoplasm (02664)","","","","",0,2,NA,NA,NA,NA,0.65,2009,2013,NA,1,"C1458155"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","Increased bilirubin level (finding)","[phenotype]","C0311468","","Finding (T033)","","Abnormality of metabolism/homeostasis (01939)","","","","",0,1,NA,NA,NA,NA,0.65,2008,2008,NA,1,"C0311468"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Zimmerman Laband syndrome","[disease]","C0796013","Musculoskeletal Diseases (C05) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Stomatognathic Diseases (C07)","Disease or Syndrome (T047)","","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,1,NA,NA,NA,NA,0.65,2019,2019,"Supportive",1,"C0796013"
"KLRC4",8302,"ENSG00000183542","protein-coding",0.606,0.783,0.10803,"O43908","","","Behcet Syndrome","[disease]","C0004943","Skin and Connective Tissue Diseases (C17) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Stomatognathic Diseases (C07) | Eye Diseases (C11) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,>1 / 1000,1-5 / 10 000,1-5 / 10 000,1-9 / 1 000 000,1-5 / 10 000,1-9 / 100 000","Spain,Italy,United States,Iran, Islamic Republic of,France,Italy,United Kingdom,Sweden,Portugal,Japan,Turkey,Iran, Islamic Republic of,Israel,Taiwan, Province of China,Saudi Arabia,Korea, Republic of","Annual incidence,Annual incidence,Point prevalence,Annual incidence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Annual incidence,Point prevalence,Annual incidence","Multigenic/multifactorial",0,1,NA,NA,NA,NA,0.65,2015,2015,NA,1,"C0004943"
"PRMT5",10419,"ENSG00000100462","protein-coding",0.486,0.87,1,"O14744","DTO_05007378","Epigenetic regulator","Triple Negative Breast Neoplasms","[disease]","C3539878","Skin and Connective Tissue Diseases (C17) | Neoplasms (C04)","Neoplastic Process (T191)","","","","","","",0,1,NA,NA,NA,NA,0.65,2019,2019,NA,0.875,"C3539878"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Pulmonary Hypertension","[phenotype]","C0020542","Respiratory Tract Diseases (C08) | Cardiovascular Diseases (C14)","Pathologic Function (T046)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.65,2014,2014,NA,1,"C0020542"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Carcinoma","[disease]","C0007097","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","Neoplasm (02664)","","","","",0,1,NA,NA,NA,NA,0.65,2002,2002,NA,1,"C0007097"
"THSD7A",221981,"ENSG00000005108","protein-coding",0.555,0.826,0.011926,"Q9UPZ6","DTO_05007621","Extracellular structure","Bipolar Disorder","[disease]","C0005586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.65,2019,2019,NA,1,"C0005586"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Testicular Germ Cell Tumor","[disease]","C1336708","Urogenital Diseases (C12) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.65,2013,2013,NA,1,"C1336708"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Autistic Disorder","[disease]","C0004352","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.65,2007,2007,NA,1,"C0004352"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Cutis Laxa","[disease]","C0010495","Skin and Connective Tissue Diseases (C17) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the integument (01574)","1-9 / 1 000 000","Europe","Prevalence at birth","Autosomal dominant,Autosomal recessive,Not applicable,X-linked recessive",0,0,NA,NA,NA,NA,0.65,NA,NA,"Limited",1,"C0010495"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Epilepsy","[disease]","C0014544","Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the nervous system (00707)","","","","",0,0,NA,NA,NA,NA,0.65,NA,NA,NA,1,"C0014544"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Marfan Syndrome","[disease]","C0024796","Skin and Connective Tissue Diseases (C17) | Musculoskeletal Diseases (C05) | Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000","Europe,United Kingdom,United Kingdom,United States","Point prevalence,Prevalence at birth,Point prevalence,Point prevalence","Autosomal dominant",0,0,NA,NA,NA,NA,0.65,NA,NA,NA,0.666666666666667,"C0024796"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","Crigler Najjar syndrome, type 1","[disease]","C0010324","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of metabolism (0014667) | genetic disease (630)","","","","","Autosomal recessive",0,23,NA,NA,NA,NA,0.6,1990,2015,NA,0.961538461538462,"C0010324"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Familial thoracic aortic aneurysm and aortic dissection","[disease]","C4707243","","Disease or Syndrome (T047)","","","","","","Autosomal dominant",0,7,NA,NA,NA,NA,0.6,1990,2024,"Strong",1,"C4707243"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Infantile Epileptic-Dyskinetic Encephalopathy","[disease]","C4552072","Nervous System Diseases (C10)","Disease or Syndrome (T047)","","","","","","X-linked recessive",0,6,NA,NA,NA,NA,0.6,2020,2024,NA,1,"C4552072"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Connective Tissue Diseases","[disease]","C0009782","Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,4,NA,NA,NA,NA,0.6,2011,2022,NA,1,"C0009782"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Bipolar Disorder","[disease]","C0005586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,4,NA,NA,NA,NA,0.6,2001,2004,NA,0.571428571428571,"C0005586"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Bipolar Disorder","[disease]","C0005586","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,4,NA,NA,NA,NA,0.6,2005,2008,NA,1,"C0005586"
"SLC6A12",6539,"ENSG00000111181","protein-coding",0.688,0.522,8.1403e-10,"P48065","DTO_05007405","Transporter","Schizophrenia","[disease]","C0036341","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,3,NA,NA,NA,NA,0.6,2011,2014,NA,1,"C0036341"
"SPIDR",23514,"ENSG00000164808","protein-coding",0.646,0.783,9.7061e-20,"Q14159","","","OVARIAN DYSGENESIS 9","[disease]","C5562046","","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,2,NA,NA,NA,NA,0.6,2017,2022,"Limited",1,"C5562046"
"COL26A1",136227,"ENSG00000160963","protein-coding",0.743,0.478,2.3673e-11,"Q96A83","","","Asthma","[disease]","C0004096","Respiratory Tract Diseases (C08) | Immune System Diseases (C20)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the immune system (02715) | Abnormality of the respiratory system (02086)","","","","",0,1,NA,NA,NA,NA,0.6,2011,2011,NA,1,"C0004096"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Cardiovascular Diseases","[disease]","C0007222","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,1,NA,NA,NA,NA,0.6,2013,2013,NA,0.75,"C0007222"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Left ventricular noncompaction cardiomyopathy","[disease]","C4021133","Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","Abnormality of the cardiovascular system (01626)","","","","",0,1,NA,NA,NA,NA,0.6,2021,2021,NA,1,"C4021133"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 7 WITH INFLAMMATION AND TUMOR PREDISPOSITION","[disease]","C5774284","","Disease or Syndrome (T047)","syndrome (225)","","","","","",0,1,NA,NA,NA,NA,0.6,2022,2022,"Limited",1,"C5774284"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Unipolar Depression","[disease]","C0041696","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,1,NA,NA,NA,NA,0.6,2005,2005,NA,1,"C0041696"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Major Depressive Disorder","[disease]","C1269683","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,1,NA,NA,NA,NA,0.6,2005,2005,NA,1,"C1269683"
"MAGI1",9223,"ENSG00000151276","protein-coding",0.586,0.913,0.85449,"Q96QZ7","","","Schizophrenia","[disease]","C0036341","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.6,2012,2012,NA,1,"C0036341"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Myeloid neoplasm (morphologic abnormality)","[disease]","C2939461","Hemic and Lymphatic Diseases (C15) | Neoplasms (C04)","Neoplastic Process (T191)","","","","","","",0,1,NA,NA,NA,NA,0.6,2013,2013,NA,1,"C2939461"
"MICA",100507436,"ENSG00000204520","protein-coding",0.405,0.913,0.0031713,"Q29983","","","Oral Submucous Fibrosis","[disease]","C0029172","Stomatognathic Diseases (C07)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.6,2006,2006,NA,1,"C0029172"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Syndactyly","[disease]","C0039075","Musculoskeletal Diseases (C05) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Congenital Abnormality (T019)","disease of anatomical entity (7)","Abnormality of the musculoskeletal system (33127) | Abnormality of limbs (40064)","","","","",0,1,NA,NA,NA,NA,0.6,2016,2016,NA,1,"C0039075"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Osteosarcoma","[disease]","C0029463","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the musculoskeletal system (33127) | Neoplasm (02664)","1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000","Europe,Europe,Europe,United States","Annual incidence,Point prevalence,Lifetime Prevalence,Annual incidence","Not applicable",0,1,NA,NA,NA,NA,0.6,2013,2013,NA,1,"C0029463"
"PRMT5",10419,"ENSG00000100462","protein-coding",0.486,0.87,1,"O14744","DTO_05007378","Epigenetic regulator","Medulloblastoma","[disease]","C0025149","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Neoplasm (02664) | Abnormality of the nervous system (00707)","1-9 / 1 000 000,1-9 / 100 000,1-9 / 1 000 000","Europe,Europe,United States","Annual incidence,Point prevalence,Annual incidence","Not applicable",0,1,NA,NA,NA,NA,0.6,2019,2019,NA,1,"C0025149"
"FAM83D",81610,"ENSG00000101447","protein-coding",0.658,0.478,3.3088e-11,"Q9H4H8","","","Liver carcinoma","[disease]","C2239176","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the digestive system (25031) | Neoplasm (02664)","1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Europe,France,United Kingdom,Germany,Spain,Italy,Greece,Canada,Oceania,Latin America,China,Japan,Korea, Republic of,Mongolia,Africa,Europe,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Iceland,Ireland,Latvia,Lithuania,Norway,Poland,Portugal,Slovakia,Switzerland,Netherlands","Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence","Not applicable",0,1,NA,NA,NA,NA,0.6,2017,2017,NA,1,"C2239176"
"PRMT5",10419,"ENSG00000100462","protein-coding",0.486,0.87,1,"O14744","DTO_05007378","Epigenetic regulator","Diffuse Large B-Cell Lymphoma","[disease]","C0079744","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Europe,France,Europe,Croatia,Latvia,Austria,Belgium,Bulgaria,Czech Republic,Estonia,Finland,Germany,Iceland,Ireland,Italy,Lithuania,Malta,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Switzerland,Netherlands,United Kingdom","Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence","Multigenic/multifactorial,Not applicable",0,1,NA,NA,NA,NA,0.6,2019,2019,NA,1,"C0079744"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Oral Submucous Fibrosis","[disease]","C0029172","Stomatognathic Diseases (C07)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.6,2006,2006,NA,0.888888888888889,"C0029172"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Lung Neoplasms","[disease]","C0024121","Respiratory Tract Diseases (C08) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Neoplasm (02664) | Abnormality of the respiratory system (02086)","","","","",0,1,NA,NA,NA,NA,0.6,2007,2007,NA,1,"C0024121"
"NEDD4L",23327,"ENSG00000049759","protein-coding",0.487,0.87,0.99878,"Q96PU5","DTO_05007624","Enzyme","Cleft Palate","[disease]","C0008925","Musculoskeletal Diseases (C05) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Stomatognathic Diseases (C07)","Congenital Abnormality (T019)","physical disorder (0080015) | syndrome (225)","","1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,>1 / 1000,>1 / 1000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,6-9 / 10 000,6-9 / 10 000,1-5 / 10 000,1-5 / 10 000,>1 / 1000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,6-9 / 10 000,6-9 / 10 000,1-5 / 10 000","Europe,Europe,Austria,Austria,Belgium,Belgium,Croatia,Croatia,Denmark,Denmark,France,France,Germany,Germany,Hungary,Hungary,Ireland,Ireland,Italy,Italy,Malta,Malta,Netherlands,Netherlands,Norway,Norway,Poland,Poland,Portugal,Portugal,Spain,Spain,Switzerland,Switzerland,United Kingdom,United Kingdom,Ukraine,Ukraine,Australia,Chile,Sudan,Iran, Islamic Republic of,Mexico,Bolivia,Specific population,Specific population,Taiwan, Province of China","Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Prevalence at birth,Point prevalence,Prevalence at birth","Multigenic/multifactorial,Not applicable",0,1,NA,NA,NA,NA,0.6,2016,2016,NA,1,"C0008925"
"PRMT5",10419,"ENSG00000100462","protein-coding",0.486,0.87,1,"O14744","DTO_05007378","Epigenetic regulator","Multiple Myeloma","[disease]","C0026764","Immune System Diseases (C20) | Cardiovascular Diseases (C14) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","1-9 / 100 000,1-9 / 100 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","United States,Worldwide,Europe,France,Europe,United States,Iran, Islamic Republic of,Australia,Denmark","Prevalence at birth,Annual incidence,Point prevalence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence,Annual incidence","Not applicable",0,1,NA,NA,NA,NA,0.6,2018,2018,NA,1,"C0026764"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Liver Cirrhosis","[disease]","C0023890","Pathological Conditions, Signs and Symptoms (C23) | Digestive System Diseases (C06)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the digestive system (25031)","","","","",1,1,NA,NA,NA,NA,0.6,2016,2016,NA,1,"C0023890"
"PTPRN2",5799,"ENSG00000155093","protein-coding",0.562,0.87,4.8153e-15,"Q92932","","","Colorectal Carcinoma","[disease]","C0009402","Digestive System Diseases (C06) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0009402"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Malignant neoplasm of prostate","[disease]","C0376358","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0376358"
"SYT1",6857,"ENSG00000067715","protein-coding",0.526,0.913,0.99999,"P21579","DTO_05007405","Transporter","Neurodevelopmental Disorders","[disease]","C1535926","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C1535926"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Scoliosis, unspecified","[disease]","C0036439","Musculoskeletal Diseases (C05)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0036439"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Autosomal dominant cerebellar ataxia","[disease]","C4087347","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","","","1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 100 000,1-9 / 100 000,1-5 / 10 000","Worldwide,Netherlands,Italy,Portugal,Europe,Japan","Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence","Autosomal dominant",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C4087347"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Tachycardia, Ventricular","[disease]","C0042514","Cardiovascular Diseases (C14) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0042514"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Hereditary Motor and Sensory-Neuropathy Type II","[disease]","C0270914","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.6,NA,NA,NA,1,"C0270914"
