PMID,Title,Abstract,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,primero_criteria_met (Y/N),primero_category,primero_explanation
31683097,Investigation of MORC1 DNA methylation as biomarker of early life stress and depressive symptoms,"Early life stress (ELS) is associated with an increased risk of depression and this association may be mediated by epigenetic mechanisms. A previous epigenome-wide DNA methylation (DNAm) study investigating human newborns and two animal models of ELS suggested that the epigenetic regulator MORC1 is differentially methylated following ELS. The ELS-induced DNAm alterations were long-lasting in the animal models. However, whether this finding is also transferable to humans experiencing ELS in childhood was not investigated. Further, MORC1 may provide a link between ELS and adult depression, as MORC1 DNAm and genetic variants were found to be associated with depressive symptoms in humans. In the present study, we investigated the validity of MORC1 DNAm as a biomarker of ELS in humans and its role in linking ELS to depression later in life by studying childhood maltreatment. We analyzed whole blood MORC1 DNAm in an adult cohort (N = 151) that was characterized for both the presence of depressive symptoms and childhood maltreatment. Further, we investigated the association between MORC1 DNAm, depressive symptoms and childhood maltreatment in two additional cohorts (N = 299, N = 310). Overall, our data do not indicate an association of MORC1 DNAm with childhood maltreatment. An association of MORC1 DNAm with depressive symptoms was present in all cohorts, but was inconsistent in the specific CpG sites associated and the direction of effect (Tuebingen cohort: standardized ? = 0.16, unstandardized ? = 0.01, 95% CI [-0.0004, -0.0179], p = 0.061, PReDICT cohort: standardized ? = -0.12, unstandardized ? = -0.01, 95% CI [-0.0258, -0.0003], p = 0.045), Grady cohort: standardized ? = 0.16, unstandardized ? = 0.008, 95% CI [0.0019, 0.0143], p = 0.01). Our study thus suggests that peripheral MORC1 DNAm cannot serve as biomarker of childhood maltreatment in adults, but does provide further indication for the association of MORC1 DNAm with depressive symptoms.","Thomas M, Coope A, Falkenberg C, Dunlop BW, Czamara D, Provencal N, Craighead WE, Mayberg HS, Nemeroff CB, Binder EB, Nieratschker V.",J Psychiatr Res. 2020 Jan;120:154-162. doi: 10.1016/j.jpsychires.2019.10.019. Epub 2019 Oct 26.,Thomas M,J Psychiatr Res,2020,11/5/2019,PMC6866669,NIHMS1542231,10.1016/j.jpsychires.2019.10.019,N,Not EWAS,candidate gene study (MORC1)
29795411,Violent aggression predicted by multiple pre-adult environmental hits,"Early exposure to negative environmental impact shapes individual behavior and potentially contributes to any mental disease. We reported previously that accumulated environmental risk markedly decreases age at schizophrenia onset. Follow-up of matched extreme group individuals (?1 vs. ?3 risks) unexpectedly revealed that high-risk subjects had >5 times greater probability of forensic hospitalization. In line with longstanding sociological theories, we hypothesized that risk accumulation before adulthood induces violent aggression and criminal conduct, independent of mental illness. We determined in 6 independent cohorts (4 schizophrenia and 2 general population samples) pre-adult risk exposure, comprising urbanicity, migration, physical and sexual abuse as primary, and cannabis or alcohol as secondary hits. All single hits by themselves were marginally associated with higher violent aggression. Most strikingly, however, their accumulation strongly predicted violent aggression (odds ratio 10.5). An epigenome-wide association scan to detect differential methylation of blood-derived DNA of selected extreme group individuals yielded overall negative results. Conversely, determination in peripheral blood mononuclear cells of histone-deacetylase1 mRNA as 'umbrella mediator' of epigenetic processes revealed an increase in the high-risk group, suggesting lasting epigenetic alterations. Together, we provide sound evidence of a disease-independent unfortunate relationship between well-defined pre-adult environmental hits and violent aggression, calling for more efficient prevention.","Mitjans M, Seidel J, Begemann M, Bockhop F, Moya-Higueras J, Bansal V, Wesolowski J, Seelbach A, Ibáñez MI, Kovacevic F, Duvar O, Fañanás L, Wolf HU, Ortet G, Zwanzger P, Klein V, Lange I, Tänzer A, Dudeck M, Penke L, van Elst LT, Bittner RA, Schmidmeier R, Freese R, Müller-Isberner R, Wiltfang J, Bliesener T, Bonn S, Poustka L, Müller JL, Arias B, Ehrenreich H.",Mol Psychiatry. 2019 Oct;24(10):1549-1564. doi: 10.1038/s41380-018-0043-3. Epub 2018 May 24.,Mitjans M,Mol Psychiatry,2019,5/26/2018,PMC6756097,,10.1038/s41380-018-0043-3,Y,Included,EWAS of pre-adult adversity & aggression; main EWAS findings negative
33542190,DNA methylation differences associated with social anxiety disorder and early life adversity,"Social anxiety disorder (SAD) is a psychiatric disorder characterized by extensive fear in social situations. Multiple genetic and environmental factors are known to contribute to its pathogenesis. One of the main environmental risk factors is early life adversity (ELA). Evidence is emerging that epigenetic mechanisms such as DNA methylation might play an important role in the biological mechanisms underlying SAD and ELA. To investigate the relationship between ELA, DNA methylation, and SAD, we performed an epigenome-wide association study for SAD and ELA examining DNA from whole blood of a cohort of 143 individuals using DNA methylation arrays. We identified two differentially methylated regions (DMRs) associated with SAD located within the genes SLC43A2 and TNXB. As this was the first epigenome-wide association study for SAD, it is worth noting that both genes have previously been associated with panic disorder. Further, we identified two DMRs associated with ELA within the SLC17A3 promoter region and the SIAH3 gene and several DMRs that were associated with the interaction of SAD and ELA. Of these, the regions within C2CD2L and MRPL28 showed the largest difference in DNA methylation. Lastly, we found that two DMRs were associated with both the severity of social anxiety and ELA, however, neither of them was found to mediate the contribution of ELA to SAD later in life. Future studies are needed to replicate our findings in independent cohorts and to investigate the biological pathways underlying these effects.","Wiegand A, Kreifelts B, Munk MHJ, Geiselhart N, Ramadori KE, MacIsaac JL, Fallgatter AJ, Kobor MS, Nieratschker V.",Transl Psychiatry. 2021 Feb 4;11(1):104. doi: 10.1038/s41398-021-01225-w.,Wiegand A,Transl Psychiatry,2021,2/5/2021,PMC7862482,,10.1038/s41398-021-01225-w,Y,Included,EWAS of ELA & SAD
35156895,Updates to data versions and analytic methods influence the reproducibility of results from epigenome-wide association studies,"Biomedical research has grown increasingly cooperative through the sharing of consortia-level epigenetic data. Since consortia preprocess data prior to distribution, new processing pipelines can lead to different versions of the same dataset. Similarly, analytic frameworks evolve to incorporate cutting-edge methods and best practices. However, it remains unknown how different data and analytic versions alter the results of epigenome-wide analyses, which could influence the replicability of epigenetic associations. Thus, we assessed the impact of these changes using data from the Avon Longitudinal Study of Parents and Children (ALSPAC) cohort. We analysed DNA methylation from two data versions, processed using separate preprocessing and analytic pipelines, examining associations between seven childhood adversities or prenatal smoking exposure and DNA methylation at age 7. We performed two sets of analyses: (1) epigenome-wide association studies (EWAS); (2) Structured Life Course Modelling Approach (SLCMA), a two-stage method that models time-dependent effects. SLCMA results were also compared across two analytic versions. Data version changes impacted both EWAS and SLCMA analyses, yielding different associations at conventional p-value thresholds. However, the magnitude and direction of associations was generally consistent between data versions, regardless of p-values. Differences were especially apparent in analyses of childhood adversity, while smoking associations were more consistent using significance thresholds. SLCMA analytic versions similarly altered top associations, but time-dependent effects remained concordant. Alterations to data and analytic versions influenced the results of epigenome-wide analyses. Our findings highlight that magnitude and direction are better measures for replication and stability than p-value thresholds.","Lussier AA, Zhu Y, Smith BJ, Simpkin AJ, Smith ADAC, Suderman MJ, Walton E, Ressler KJ, Dunn EC.",Epigenetics. 2022 Nov;17(11):1373-1388. doi: 10.1080/15592294.2022.2028072. Epub 2022 Feb 14.,Lussier AA,Epigenetics,2022,2/14/2022,PMC9601563,,10.1080/15592294.2022.2028072,N,Methodological,method paper comparing data processing pipelines
28241754,DNA methylation profiles of elderly individuals subjected to indentured childhood labor and trauma,"Childhood trauma is associated with increased vulnerability to mental and somatic disorders later in life. Epigenetic modifications such as DNA methylation are one potential mechanism through which such long-lasting impairments/consequences can be explained. The aim of the present study was to investigate whether childhood trauma is associated with long-term DNA methylation alterations in old age. We assessed genome-wide DNA methylation profiles in a cohort of former indentured child laborers (""Verdingkinder"") who suffered severe childhood adversities (N = 30; M age = 75.9 years), and compared them to control group with similar demographic characteristics (N = 15, M age = 72.8 years). DNA was isolated from epithelial buccal cells and hybridized to the Illumina Infinium 450 k DNA methylation array, which provides coverage of 485,000 methylation sites. After accounting for batch effects, age, gender and multiple testing, 71 differentially methylated CpG positions were identified between the two groups. They were annotated among others to genes involved in neuronal projections and neuronal development. Some of the identified genes with differential methylation (DLG associated protein 2, mechanistic target of rapamycin) have previously been associated with traumatic stress. The results indicate specific epigenetic alterations in elderly individuals who were subjected to childhood adversities. Psychiatric and somatic comorbidities as well as differences in buccal epithelial cells proportion may contribute to the observed epigenetic differences.","Marinova Z, Maercker A, Küffer A, Robinson MD, Wojdacz TK, Walitza S, Grünblatt E, Burri A.",BMC Med Genet. 2017 Feb 27;18(1):21. doi: 10.1186/s12881-017-0370-2.,Marinova Z,BMC Med Genet,2017,3/1/2017,PMC5329963,,10.1186/s12881-017-0370-2,Y,Included,EWAS of childhood adversity in elderly buccal cells
34424394,"Associations of age, sex, sexual abuse, and genotype with monoamine oxidase a gene methylation","Epigenome-wide studies report higher methylation among women than men with decreasing levels with age. Little is known about associations of sex and age with methylation of monoamine oxidase A (MAOA). Methylation of the first exonic and partial first intronic region of MAOA has been shown to strengthen associations of interactions of MAOA-uVNTR genotypes and adversity with aggression and substance misuse. Our study examined associations of sex and age with MAOA first exon and intron methylation levels in 252 women and 157 men aged 14-73 years. Participants included adolescents recruited at a substance misuse clinic, their siblings and parents, and healthy women. Women showed ~ 50% higher levels of exonic, and ~ 15% higher intronic, methylation than men. Methylation levels were similar between younger (M = 22.7 years) and older (M = 46.1 years) participants, and stable across age. Age modified few associations of methylation levels with sex. MAOA genotypes modified few associations of methylation with sex and age. Higher methylation levels among women were not explained by genotype, nor interaction of genotype and sexual abuse. Findings were similar after adjusting for lifetime diagnoses of substance dependence (women = 24.3%; men = 34.2%). Methylation levels were higher among women who experienced sexual abuse than women who did not. Results extend on prior studies by showing that women display higher levels of methylation than men within first intronic/exonic regions of MAOA, which did not decrease with age in either sex. Findings were not conditioned by genotype nor interactions of genotype and trauma, and indicate X-chromosome inactivation.","Checknita D, Tiihonen J, Hodgins S, Nilsson KW.",J Neural Transm (Vienna). 2021 Nov;128(11):1721-1739. doi: 10.1007/s00702-021-02403-2. Epub 2021 Aug 23.,Checknita D,J Neural Transm (Vienna),2021,8/23/2021,PMC8536631,,10.1007/s00702-021-02403-2,N,Not EWAS,"candidate gene (MAOA), not EWAS"
41214810,Impact of psychosocial stress in early life on pace of aging in young adulthood,"Early-life psychosocial stress is increasingly recognized as a contributor to accelerated biological aging and health disparities, yet its impact during young adulthood remains underexplored. Existing studies often focus on one or two dimensions of stress exposure and rely on retrospective assessments. Utilizing data from a longitudinal cohort initiated in 1989, we aim to examine the impact of early life psychosocial stress on accelerated aging in young adulthood, as well as its potential contribution to health disparities between Black and White Americans. Participants included 470 individuals (223 Black and 247 White Americans) with DNA samples collected at age > 20 years. Psychosocial stress exposures in the first 20 years of life were assessed prospectively using validated instruments across individual, family, and neighborhood domains. DunedinPACE, a novel biomarker of the pace of aging, was calculated from DNA methylation data generated from peripheral blood using the Illumina 450K array. The joint effect of early life psychosocial factors on DunedinPACE and the relative importance of each stressor were estimated using the Weighted Quantile Sum (WQS) approach. Mediation analysis was conducted to evaluate the contribution of early life stress to racial disparities in aging. Compared to White Americans, Black Americans reported higher overall levels of early life stress (mean = 1.52 vs. 1.38, adjusted p = 0.002) and exhibited a faster pace of aging in young adulthood (DunedinPACE score mean = 0.98 vs. 0.93, adjusted p < 0.001). WQS analysis revealed a positive joint effect of early life psychosocial stress on DunedinPACE (? = 0.25, 95% CI: 0.159-0.335), with the top four contributors being parental socioeconomic status, family emotional expression, peer pressure, and neighborhood safety conditions. Mediation analysis indicated that early-life stress accounted for 22% of the racial disparity in biological aging (p = .01). Our findings suggest that exposure to disadvantaged psychosocial environments in early life is associated with accelerated biological aging in young adulthood. Racial differences in stress exposure partially explain disparities in aging, underscoring the importance of early interventions to reduce health disparities across the life course.","Su S, Lewis TT, Belsky DW, Liu Y, Zhang K, Snieder H, Wang X.",Clin Epigenetics. 2025 Nov 10;17(1):186. doi: 10.1186/s13148-025-02002-y.,Su S,Clin Epigenetics,2025,11/11/2025,PMC12604386,,10.1186/s13148-025-02002-y,Y,Included,EWAS of early life psychosocial stress & DNAm aging clock
41093898,Salivary DNA methylation and pubertal development in adolescents,"Individuals differ in when and how quickly they experience puberty, and these differences in pubertal development are associated with lifelong health and mortality. We conducted sex-specific epigenome-wide association analyses of salivary DNA-methylation (DNAm) samples from ~ 3500 adolescents and identified 373 DNAm sites significantly associated with pubertal age, pace of pubertal development, and/or onset of early puberty by age 9. These DNAm signals converged with results from previous genomic and transcriptomic studies of puberty and with pan-mammalian epigenomic studies of age. Genomic annotations and trait enrichment results implicate child maltreatment and toxicant exposures as relevant for puberty. We developed a novel DNAm biomarker of pubertal age that was consistently associated with earlier age at menarche across three adolescent cohorts. Saliva DNAm is sensitive to signatures of pubertal development and suggests molecular links between reproductive maturation and both embryonic development and biological aging across species.","deSteiguer AJ, Smith T, Goode JA, Willems YE, Schowe AM, Czamara D, Mönkediek B, Pahnke CKL, Forstner AJ, Binder EB, Schneper L, Notterman DA, Tucker-Drob EM, Raffington L, Mitchell C, Harden KP.",Sci Rep. 2025 Oct 15;15(1):35970. doi: 10.1038/s41598-025-19588-1.,deSteiguer AJ,Sci Rep,2025,10/15/2025,PMC12528458,,10.1038/s41598-025-19588-1,N,Wrong Exposure,"EWAS on pubertal development, not child maltreatment exposure"
36266402,Epigenetic impact of a 1-week intensive multimodal group program for adolescents with multiple adverse childhood experiences,"Adverse childhood experiences (ACEs, i.e., abuse, neglect, household dysfunction) represent a potential risk factor for a wide range of long-lasting diseases and shorter life expectancy. We recently described a 1-week residential group program, based on mindfulness training, artistic expression and EMDR group therapy, that significantly reduced PTSD-related symptoms and increased attention/awareness-related outcomes in adolescent girls with multiple ACEs in a randomized controlled study. Since epigenetic mechanisms (i.e., DNA methylation) have been associated with the long-lasting effects of ACEs, the present report extends these prior findings by exploring genome-wide DNA methylation changes following the program. Saliva samples from all participants (n = 44) were collected and genomic DNA was extracted prior (T1) and following (T2) the intervention. Genome-wide DNA methylation analysis using the MethylationEPIC beadchip array (Illumina) revealed 49 differentially methylated loci (DML; p value 10%) that were annotated to genes with roles in biological processes linked to early childhood adversity (i.e., neural, immune, and endocrine pathways, cancer and cardiovascular disease). DNA sequences flanking these DML showed significant enrichment of transcription factor binding sites involved in inflammation, cancer, cardiovascular disease, and brain development. Methylation changes in SIRT5 and TRAPPC2L genes showed associations with changes in trauma-related psychological measures. Results presented here suggest that this multimodal group program for adolescents with multiple victimization modulates the DNA methylome at sites of potential relevance for health and behavioral disorders associated with ACEs.","Kaliman P, Cosín-Tomás M, Madrid A, Roque López S, Llanez-Anaya E, Papale LA, Alisch RS, Davidson RJ.",Sci Rep. 2022 Oct 20;12(1):17177. doi: 10.1038/s41598-022-21246-9.,Kaliman P,Sci Rep,2022,10/20/2022,PMC9585146,,10.1038/s41598-022-21246-9,Y,Included,EWAS of intervention in ACE-exposed youth
30905381,"Sensitive Periods for the Effect of Childhood Adversity on DNA Methylation: Results From a Prospective, Longitudinal Study","Exposure to early-life adversity is known to predict DNA methylation (DNAm) patterns that may be related to psychiatric risk. However, few studies have investigated whether adversity has time-dependent effects based on the age at exposure. Using a two-stage structured life course modeling approach, we tested the hypothesis that there are sensitive periods when adversity induces greater DNAm changes. We tested this hypothesis in relation to two alternatives: an accumulation hypothesis, in which the effect of adversity increases with the number of occasions exposed, regardless of timing; and a recency model, in which the effect of adversity is stronger for more proximal events. Data came from the Accessible Resource for Integrated Epigenomic Studies, a subsample of mother-child pairs from the Avon Longitudinal Study of Parents and Children (n = 691-774). After covariate adjustment and multiple testing correction, we identified 38 CpG sites that were differentially methylated at 7 years of age following exposure to adversity. Most loci (n = 35) were predicted by the timing of adversity, namely exposures before 3 years of age. Neither the accumulation nor recency of the adversity explained considerable variability in DNAm. A standard epigenome-wide association study of lifetime exposure (vs. no exposure) failed to detect these associations. The developmental timing of adversity explains more variability in DNAm than the accumulation or recency of exposure. Very early childhood appears to be a sensitive period when exposure to adversity predicts differential DNAm patterns. Classification of individuals as exposed versus unexposed to early-life adversity may dilute observed effects.","Dunn EC, Soare TW, Zhu Y, Simpkin AJ, Suderman MJ, Klengel T, Smith ADAC, Ressler KJ, Relton CL.",Biol Psychiatry. 2019 May 15;85(10):838-849. doi: 10.1016/j.biopsych.2018.12.023. Epub 2019 Jan 21.,Dunn EC,Biol Psychiatry,2019,3/26/2019,PMC6552666,NIHMS1525159,10.1016/j.biopsych.2018.12.023,Y,Included,EWAS of early-life adversity & DNAm timing
30279435,Exposure to childhood abuse is associated with human sperm DNA methylation,"Offspring of persons exposed to childhood abuse are at higher risk of neurodevelopmental and physical health disparities across the life course. Animal experiments have indicated that paternal environmental stressors can affect sperm DNA methylation and gene expression in an offspring. Childhood abuse has been associated with epigenetic marks in human blood, saliva, and brain tissue, with statistically significant methylation differences ranging widely. However, no studies have examined the association of childhood abuse with DNA methylation in gametes. We examined the association of childhood abuse with DNA methylation in human sperm. Combined physical, emotional, and sexual abuse in childhood was characterized as none, medium, or high. DNA methylation was assayed in 46 sperm samples from 34 men in a longitudinal non-clinical cohort using HumanMethylation450 BeadChips. We performed principal component analysis and examined the correlation of principal components with abuse exposure. Childhood abuse was associated with a component that captured 6.2% of total variance in DNA methylation (p < 0.05). Next, we investigated the regions differentially methylated by abuse exposure. We identified 12 DNA regions differentially methylated by childhood abuse, containing 64 probes and including sites on genes associated with neuronal function (MAPT, CLU), fat cell regulation (PRDM16), and immune function (SDK1). We examined adulthood health behaviors, mental health, and trauma exposure as potential mediators of an association between abuse and DNAm, and found that mental health and trauma exposure partly mediated the association. Finally, we constructed a parsimonious epigenetic marker for childhood abuse using a machine learning approach, which identified three probes that predicted high vs. no childhood abuse in 71% of participants. Our results suggested that childhood abuse is associated with sperm DNA methylation, which may have implications for offspring development. Larger samples are needed to identify with greater confidence specific genomic regions differentially methylated by childhood abuse.","Roberts AL, Gladish N, Gatev E, Jones MJ, Chen Y, MacIsaac JL, Tworoger SS, Austin SB, Tanrikut C, Chavarro JE, Baccarelli AA, Kobor MS.",Transl Psychiatry. 2018 Oct 2;8(1):194. doi: 10.1038/s41398-018-0252-1.,Roberts AL,Transl Psychiatry,2018,10/4/2018,PMC6168447,,10.1038/s41398-018-0252-1,N,Intergenerational,EWAS of paternal childhood abuse on sperm DNAm
29325449,Analysis of DNA Methylation in Young People: Limited Evidence for an Association Between Victimization Stress and Epigenetic Variation in Blood,"DNA methylation has been proposed as an epigenetic mechanism by which early-life experiences become ""embedded"" in the genome and alter transcriptional processes to compromise health. The authors sought to investigate whether early-life victimization stress is associated with genome-wide DNA methylation. The authors tested the hypothesis that victimization is associated with DNA methylation in the Environmental Risk (E-Risk) Longitudinal Study, a nationally representative 1994-1995 birth cohort of 2,232 twins born in England and Wales and assessed at ages 5, 7, 10, 12, and 18 years. Multiple forms of victimization were ascertained in childhood and adolescence (including physical, sexual, and emotional abuse; neglect; exposure to intimate-partner violence; bullying; cyber-victimization; and crime). Epigenome-wide analyses of polyvictimization across childhood and adolescence revealed few significant associations with DNA methylation in peripheral blood at age 18, but these analyses were confounded by tobacco smoking and/or did not survive co-twin control tests. Secondary analyses of specific forms of victimization revealed sparse associations with DNA methylation that did not replicate across different operationalizations of the same putative victimization experience. Hypothesis-driven analyses of six candidate genes in the stress response (NR3C1, FKBP5, BDNF, AVP, CRHR1, SLC6A4) did not reveal predicted associations with DNA methylation in probes annotated to these genes. Findings from this epidemiological analysis of the epigenetic effects of early-life stress do not support the hypothesis of robust changes in DNA methylation in victimized young people. We need to come to terms with the possibility that epigenetic epidemiology is not yet well matched to experimental, nonhuman models in uncovering the biological embedding of stress.","Marzi SJ, Sugden K, Arseneault L, Belsky DW, Burrage J, Corcoran DL, Danese A, Fisher HL, Hannon E, Moffitt TE, Odgers CL, Pariante C, Poulton R, Williams BS, Wong CCY, Mill J, Caspi A.",Am J Psychiatry. 2018 Jun 1;175(6):517-529. doi: 10.1176/appi.ajp.2017.17060693. Epub 2018 Jan 12.,Marzi SJ,Am J Psychiatry,2018,1/13/2018,PMC5988939,NIHMS943562,10.1176/appi.ajp.2017.17060693,Y,Included,"EWAS of childhood/adolescent victimization, null findings"
23799031,Profiling of childhood adversity-associated DNA methylation changes in alcoholic patients and healthy controls,"The increased vulnerability to alcohol dependence (AD) seen in individuals with childhood adversity (CA) may result in part from CA-induced epigenetic changes. To examine CA-associated DNA methylation changes in AD patients, we examined peripheral blood DNA methylation levels of 384 CpGs in promoter regions of 82 candidate genes in 279 African Americans [AAs; 88 with CA (70.5% with AD) and 191 without CA (38.2% with AD)] and 239 European Americans [EAs; 61 with CA (86.9% with AD) and 178 without CA (46.6% with AD)] using Illumina GoldenGate Methylation Array assays. The effect of CA on methylation of individual CpGs and overall methylation in promoter regions of genes was evaluated using a linear regression analysis (with consideration of sex, age, and ancestry proportion of subjects) and a principal components-based analysis, respectively. In EAs, hypermethylation of 10 CpGs in seven genes (ALDH1A1, CART, CHRNA5, HTR1B, OPRL1, PENK, and RGS19) were cross validated in AD patients and healthy controls who were exposed to CA. P values of two CpGs survived Bonferroni correction when all EA samples were analyzed together to increase statistical power [CHRNA5_cg17108064: P(adjust) = 2.54×10(-5); HTR1B_cg06031989: P(adjust) = 8.98×10(-5)]. Moreover, overall methylation levels in the promoter regions of three genes (ALDH1A1, OPRL1 and RGS19) were elevated in both EA case and control subjects who were exposed to CA. However, in AAs, CA-associated DNA methylation changes in AD patients were not validated in healthy controls. Our findings suggest that CA could induce population-specific methylation alterations in the promoter regions of specific genes, thus leading to changes in gene transcription and an increased risk for AD and other disorders.","Zhang H, Wang F, Kranzler HR, Zhao H, Gelernter J.",PLoS One. 2013 Jun 14;8(6):e65648. doi: 10.1371/journal.pone.0065648. Print 2013.,Zhang H,PLoS One,2013,6/27/2013,PMC3683055,,10.1371/journal.pone.0065648,N,Not EWAS,"candidate gene study, not EWAS"
30510187,Childhood adversity and DNA methylation in two population-based cohorts,"Childhood adversity affects later health, but the underlying molecular mechanisms are unclear. Although there is some evidence from animal models and case-control studies of a role for DNA methylation, evidence from human population-based studies is limited. In two cohorts (mothers from the Avon Longitudinal Study of Parents and Children, ALSPAC, n = 780 and women from the MRC National Survey of Health and Development, NSHD, n = 552), we assessed the association of seven adverse childhood experiences (ACEs: parental physical illness, parental mental illness, parental death, parental separation, suboptimal maternal bonding, childhood illness and child maltreatment) as well as their combination (ACE score) with genome-wide DNA methylation levels measured using the Illumina Infinium HumanMethylation450 BeadChip in peripheral blood at mean age 47 years (ALSPAC) and in buccal cells at age 53 years (NSHD). CpG sites with a genome-wide false discovery rate (FDR) below 0.05 and differentially methylated regions (DMRs) with one-step Šidák correction p-values below 0.05 in each cohort were examined in the other cohort. No individual CpG sites replicated across cohorts. However, nine DMRs replicated across cohorts respectively associated with the ACE score (one region), parental mental illness (two regions), parental physical illness (three regions) and parental death (three regions). These observations indicate that some adverse childhood experiences, notably those related to parental health, may leave imprints on peripheral DNA methylation that persist to mid-life.","Houtepen LC, Hardy R, Maddock J, Kuh D, Anderson EL, Relton CL, Suderman MJ, Howe LD.",Transl Psychiatry. 2018 Dec 3;8(1):266. doi: 10.1038/s41398-018-0307-3.,Houtepen LC,Transl Psychiatry,2018,12/5/2018,PMC6277431,,10.1038/s41398-018-0307-3,Y,Included,EWAS of multiple ACEs on DNAm in two cohorts
29028111,DNA methylation of methylation complex genes in relation to stress and genome-wide methylation in mother-newborn dyads,"Early life stress is known to have enduring biological effects, particularly with respect to health. Epigenetic modifications, such as DNA methylation, are a possible mechanism to mediate the biological effect of stress. We previously found correlations between maternal stress, newborn birthweight, and genome-wide measures of DNA methylation. Here we investigate ten genes related to the methylation/demethylation complex in order to better understand the impact of stress on health. DNA methylation and genetic variants at methylation/demethylation genes were assayed. Mean methylation measures were constructed for each gene and tested, in addition to genetic variants, for association with maternal stress measures based on interview and survey data (chronic stress and war trauma), maternal venous, and newborn cord genome-wide mean methylation (GMM), and birthweight. After cell type correction, we found multiple pairwise associations between war trauma, maternal GMM, maternal methylation at DNMT1, DNMT3A, TET3, and MBD2, and birthweight. The association of maternal GMM and maternal methylation at DNMT1, DNMT3A, TET3, and MBD2 is consistent with the role of these genes in establishing, maintaining and altering genome-wide methylation patterns, in some cases in response to stress. DNMT1 produces one of the primary enzymes that reproduces methylation patterns during DNA replication. DNMT3A and TET3 have been implicated in genome-wide hypomethylation in response to glucocorticoid hormones. Although we cannot determine the directionality of the genic and genome-wide changes in methylation, our results suggest that altered methylation of specific methylation genes may be part of the molecular mechanism underlying the human biological response to stress.","Clukay CJ, Hughes DA, Rodney NC, Kertes DA, Mulligan CJ.",Am J Phys Anthropol. 2018 Jan;165(1):173-182. doi: 10.1002/ajpa.23341. Epub 2017 Oct 13.,Clukay CJ,Am J Phys Anthropol,2018,10/14/2017,,,10.1002/ajpa.23341,N,Not EWAS,"candidate gene study, not EWAS"
28319850,Methylation of HPA axis related genes in men with hypersexual disorder,"Hypersexual Disorder (HD) defined as non-paraphilic sexual desire disorder with components of compulsivity, impulsivity and behavioral addiction, and proposed as a diagnosis in the DSM 5, shares some overlapping features with substance use disorder including common neurotransmitter systems and dysregulated hypothalamic-pituitary-adrenal (HPA) axis function. In this study, comprising 67 HD male patients and 39 male healthy volunteers, we aimed to identify HPA-axis coupled CpG-sites, in which modifications of the epigenetic profile are associated with hypersexuality. The genome-wide methylation pattern was measured in whole blood using the Illumina Infinium Methylation EPIC BeadChip, measuring the methylation state of over 850K CpG sites. Prior to analysis, the global DNA methylation pattern was pre-processed according to standard protocols and adjusted for white blood cell type heterogeneity. We included CpG sites located within 2000bp of the transcriptional start site of the following HPA-axis coupled genes: Corticotropin releasing hormone (CRH), corticotropin releasing hormone binding protein (CRHBP), corticotropin releasing hormone receptor 1 (CRHR1), corticotropin releasing hormone receptor 2 (CRHR2), FKBP5 and the glucocorticoid receptor (NR3C1). We performed multiple linear regression models of methylation M-values to a categorical variable of hypersexuality, adjusting for depression, dexamethasone non-suppression status, Childhood Trauma Questionnaire total score and plasma levels of TNF-alpha and IL-6. Of 76 tested individual CpG sites, four were nominally significant (p<0.05), associated with the genes CRH, CRHR2 and NR3C1. Cg23409074-located 48bp upstream of the transcription start site of the CRH gene - was significantly hypomethylated in hypersexual patients after corrections for multiple testing using the FDR-method. Methylation levels of cg23409074 were positively correlated with gene expression of the CRH gene in an independent cohort of 11 healthy male subjects. The methylation levels at the identified CRH site, cg23409074, were significantly correlated between blood and four different brain regions. CRH is an important integrator of neuroendocrine stress responses in the brain, with a key role in the addiction processes. Our results show epigenetic changes in the CRH gene related to hypersexual disorder in men.","Jokinen J, Boström AE, Chatzittofis A, Ciuculete DM, Öberg KG, Flanagan JN, Arver S, Schiöth HB.",Psychoneuroendocrinology. 2017 Jun;80:67-73. doi: 10.1016/j.psyneuen.2017.03.007. Epub 2017 Mar 10.,Jokinen J,Psychoneuroendocrinology,2017,3/21/2017,,,10.1016/j.psyneuen.2017.03.007,N,Not EWAS,"candidate gene analysis, not EWAS"
